station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LTAP,2024-06-04 13:50,35.5833,40.8500,535.00,95.00,39.20,14.44,0.00,0.00,0.00,29.88,,6.21,,,,,,,,,,,,,,,,,90.57,LTAP 041350Z 00000KT CAVOK 35/04 Q1012 NOSIG RMK RWY23 VRB04KT,
LTAP,2024-06-04 14:20,35.5833,40.8500,535.00,93.20,37.40,14.23,110.00,3.00,0.00,29.88,,6.21,,,,,,,,,,,,,,,,,88.83,LTAP 041420Z 11003KT 080V170 CAVOK 34/03 Q1012 NOSIG RMK RWY23 07005KT 010V120,
LTAP,2024-06-04 14:50,35.5833,40.8500,535.00,93.20,37.40,14.23,60.00,4.00,0.00,29.88,,6.21,,,,,,,,,,,,,,,,,88.83,LTAP 041450Z 06004KT 020V090 CAVOK 34/03 Q1012 NOSIG RMK RWY23 VRB02KT,
LTAP,2024-06-04 15:20,35.5833,40.8500,535.00,91.40,46.40,21.29,70.00,3.00,0.00,29.88,,6.21,,,,,,,,,,,,,,,,,87.86,LTAP 041520Z 07003KT 040V100 CAVOK 33/08 Q1012 NOSIG RMK RWY23 VRB03KT,
LTAP,2024-06-04 15:50,35.5833,40.8500,535.00,89.60,51.80,27.56,40.00,9.00,0.00,29.88,,6.21,,,,,,,,,,,,,,,,,87.00,LTAP 041550Z 04009KT CAVOK 32/11 Q1012 NOSIG RMK RWY23 05008KT,
LTAP,2024-06-04 16:20,35.5833,40.8500,535.00,86.00,60.80,42.80,30.00,8.00,0.00,29.88,,6.21,,,,,,,,,,,,,,,,,86.05,LTAP 041620Z 03008KT CAVOK 30/16 Q1012 NOSIG RMK RWY23 03009KT,
LTAP,2024-06-04 16:50,35.5833,40.8500,535.00,80.60,60.80,50.95,350.00,6.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,81.46,LTAP 041650Z 35006KT CAVOK 27/16 Q1013 NOSIG RMK RWY23 02008KT,
LTAP,2024-06-04 17:20,35.5833,40.8500,535.00,78.80,57.20,47.52,350.00,6.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,78.80,LTAP 041720Z 35006KT CAVOK 26/14 Q1013 NOSIG RMK RWY23 36005KT,
LTAP,2024-06-04 17:50,35.5833,40.8500,535.00,75.20,55.40,50.17,340.00,6.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,75.20,LTAP 041750Z 34006KT CAVOK 24/13 Q1013 NOSIG RMK RWY23 01004KT,
LTAP,2024-06-04 18:20,35.5833,40.8500,535.00,75.20,55.40,50.17,,2.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,75.20,LTAP 041820Z VRB02KT CAVOK 24/13 Q1013 NOSIG RMK RWY23 10004KT 010V160,
LTAP,2024-06-04 18:50,35.5833,40.8500,535.00,71.60,55.40,56.63,290.00,6.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,71.60,LTAP 041850Z 29006KT CAVOK 22/13 Q1013 NOSIG RMK RWY23 30006KT,
LTAP,2024-06-04 19:20,35.5833,40.8500,535.00,71.60,55.40,56.63,310.00,6.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,71.60,LTAP 041920Z 31006KT CAVOK 22/13 Q1013 NOSIG RMK RWY23 34005KT,
LTAP,2024-06-04 19:50,35.5833,40.8500,535.00,69.80,55.40,60.21,0.00,0.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,69.80,LTAP 041950Z 00000KT CAVOK 21/13 Q1013 NOSIG RMK RWY23 VRB02KT,
LTAP,2024-06-04 20:20,35.5833,40.8500,535.00,69.80,55.40,60.21,0.00,0.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,69.80,LTAP 042020Z 00000KT CAVOK 21/13 Q1013 NOSIG RMK RWY23 34001KT,
LTAP,2024-06-04 20:50,35.5833,40.8500,535.00,68.00,55.40,64.04,300.00,2.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,68.00,LTAP 042050Z 30002KT CAVOK 20/13 Q1013 NOSIG RMK RWY23 32003KT,
LTAP,2024-06-04 21:20,35.5833,40.8500,535.00,64.40,55.40,72.56,0.00,0.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,64.40,LTAP 042120Z 00000KT CAVOK 18/13 Q1013 NOSIG RMK RWY23 VRB01KT,
LTAP,2024-06-04 21:50,35.5833,40.8500,535.00,64.40,51.80,63.60,0.00,0.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,64.40,LTAP 042150Z 00000KT CAVOK 18/11 Q1013 NOSIG RMK RWY23 00000KT,
LTAP,2024-06-04 22:20,35.5833,40.8500,535.00,64.40,51.80,63.60,320.00,4.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,64.40,LTAP 042220Z 32004KT CAVOK 18/11 Q1013 NOSIG RMK RWY23 32003KT,
LTAP,2024-06-04 22:50,35.5833,40.8500,535.00,62.60,51.80,67.75,0.00,0.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,62.60,LTAP 042250Z 00000KT CAVOK 17/11 Q1013 NOSIG RMK RWY23 02004KT,
LTAP,2024-06-04 23:20,35.5833,40.8500,535.00,64.40,51.80,63.60,0.00,0.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,64.40,LTAP 042320Z 00000KT CAVOK 18/11 Q1013 NOSIG RMK RWY23 30002KT,
LTAP,2024-06-04 23:50,35.5833,40.8500,535.00,59.00,51.80,76.98,0.00,0.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,59.00,LTAP 042350Z 00000KT CAVOK 15/11 Q1013 NOSIG RMK RWY23 33004KT,
